ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0071222,cellular response to lipopolysaccharide,48,-0.535655188974004,-1.52430698461817,0.0357549421297552,0.886378659341314,0.834263658617332,403,"tags=27%, list=10%, signal=25%",1437/567/1053/445/1051/923/958/949/4317/4986/5578/387/706,0.321775918075361
GO:0070424,"regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",5,-0.860311762037004,-1.52186467708167,0.0369444280887209,0.886378659341314,0.834263658617332,341,"tags=60%, list=8%, signal=55%",3303/329/331,0.321775918075361
GO:0019320,hexose catabolic process,14,-0.673413088871219,-1.52162203398829,0.0424886191198786,0.886378659341314,0.834263658617332,300,"tags=14%, list=7%, signal=13%",2523/226,0.271288554688953
GO:0046365,monosaccharide catabolic process,14,-0.673413088871219,-1.52162203398829,0.0424886191198786,0.886378659341314,0.834263658617332,300,"tags=14%, list=7%, signal=13%",2523/226,0.271288554688953
GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,25,-0.610813397555179,-1.5215727874384,0.0442477876106195,0.886378659341314,0.834263658617332,403,"tags=28%, list=10%, signal=25%",1437/3064/3303/367/2138/653/672,0.261663521711573
GO:0016188,synaptic vesicle maturation,12,-0.704621898019232,-1.51992838565075,0.0410509031198686,0.886378659341314,0.834263658617332,211,"tags=25%, list=5%, signal=24%",1182/529/534,0.287857117255149
GO:0002062,chondrocyte differentiation,25,-0.60994052842183,-1.51939841810463,0.0471976401179941,0.886378659341314,0.834263658617332,8,"tags=8%, list=0%, signal=8%",659/861,0.252961123069611
GO:0001946,lymphangiogenesis,6,-0.809813921604269,-1.51588877808244,0.0409165302782324,0.886378659341314,0.834263658617332,8,"tags=17%, list=0%, signal=17%",659,0.287857117255149
GO:0001936,regulation of endothelial cell proliferation,35,-0.561086599224529,-1.51491288490973,0.0395480225988701,0.886378659341314,0.834263658617332,513,"tags=29%, list=13%, signal=25%",2152/498/1535/1012/1960/5617/1232/5578/350/4763,0.271288554688953
GO:0042362,fat-soluble vitamin biosynthetic process,3,0.91923931835021,1.51248992673095,0.0176086317875702,0.775054554246325,0.729484900430778,330,"tags=100%, list=8%, signal=92%",1591/1593/1576,0.352487857583619
GO:0042368,vitamin D biosynthetic process,3,0.91923931835021,1.51248992673095,0.0176086317875702,0.775054554246325,0.729484900430778,330,"tags=100%, list=8%, signal=92%",1591/1593/1576,0.352487857583619
GO:1905651,regulation of artery morphogenesis,2,0.984904396443992,1.512460694199,0.00545121633180176,0.651815077823144,0.613491340112786,22,"tags=50%, list=1%, signal=50%",4775,0.407017918923954
GO:0070942,neutrophil mediated cytotoxicity,10,-0.73023060203776,-1.5124260280778,0.040625,0.886378659341314,0.834263658617332,585,"tags=60%, list=14%, signal=51%",1776/5443/566/1773/1991/2150,0.282013350011725
GO:0070167,regulation of biomineral tissue development,29,-0.582036834909613,-1.51221137011196,0.0458737799251028,0.886378659341314,0.834263658617332,422,"tags=21%, list=10%, signal=19%",1230/2824/650/1051/490/659,0.321775918075361
GO:0030501,positive regulation of bone mineralization,19,-0.634301963438789,-1.5115935444396,0.0416047548291233,0.886378659341314,0.834263658617332,393,"tags=21%, list=10%, signal=19%",2824/650/490/659,0.271288554688953
GO:0003171,atrioventricular valve development,7,-0.786737856186254,-1.51081261672077,0.0430137254902377,0.886378659341314,0.834263658617332,340,"tags=29%, list=8%, signal=26%",650/659,0.321775918075361
GO:0030859,polarized epithelial cell differentiation,4,-0.906407101473,-1.50874077084398,0.0134046961557707,0.744836710294092,0.701043727140515,55,"tags=25%, list=1%, signal=25%",387,0.380730400722792
GO:0090162,establishment of epithelial cell polarity,4,-0.906407101473,-1.50874077084398,0.0134046961557707,0.744836710294092,0.701043727140515,55,"tags=25%, list=1%, signal=25%",387,0.380730400722792
GO:0015740,C4-dicarboxylate transport,2,0.982198315893193,1.5083051228733,0.00696804246064722,0.657550940203076,0.61888996008629,20,"tags=50%, list=0%, signal=50%",18,0.407017918923954
GO:0006085,acetyl-CoA biosynthetic process,7,-0.784795234305791,-1.50708210137383,0.0446368639313736,0.886378659341314,0.834263658617332,39,"tags=14%, list=1%, signal=14%",1738,0.321775918075361
GO:0090287,regulation of cellular response to growth factor stimulus,45,-0.543346826469557,-1.50687495985066,0.0304904825193994,0.886378659341314,0.834263658617332,341,"tags=18%, list=8%, signal=16%",3303/650/2348/2734/3688/331/1387/1001,0.352487857583619
GO:0097494,regulation of vesicle size,3,-0.961277310671143,-1.50588045168156,0.00621653376941889,0.651815077823144,0.613491340112786,11,"tags=33%, list=0%, signal=33%",1173,0.407017918923954
GO:0051608,histamine transport,6,-0.804177449978388,-1.50533788008266,0.0474631751227496,0.886378659341314,0.834263658617332,444,"tags=50%, list=11%, signal=45%",695/1437/8673,0.266350657088526
GO:0071559,response to transforming growth factor beta,56,-0.530630514338155,-1.50462449545512,0.0330788804071247,0.886378659341314,0.834263658617332,646,"tags=29%, list=16%, signal=24%",1149/2263/1028/7476/2651/1385/3693/3303/650/2348/5678/2661/2662/2734/1387/1001,0.282013350011725
GO:1903428,positive regulation of reactive oxygen species biosynthetic process,5,-0.849862335962623,-1.50337996823528,0.0480553491196493,0.886378659341314,0.834263658617332,498,"tags=60%, list=12%, signal=53%",2309/1535/575,0.321775918075361
