GSM1333746,GSM1333747,GSM1333748,GSM1333749,GSM1333750,GSM1333751,GSM1333752,GSM1333753,GSM1333754,GSM1333755,GSM1333756,GSM1333757,GSM1333758,GSM1333759,GSM1333760,GSM1333761,GSM1333762,GSM1333763,GSM1333764,GSM1333765,GSM1333766,GSM1333767,GSM1333768,GSM1333769,GSM1333770,GSM1333771,GSM1333772,GSM1333773,GSM1333774,GSM1333775,GSM1333776,GSM1333777,GSM1333778,GSM1333779,GSM1333780,GSM1333781
11.9604,32.5669,19.1461,2.1638,7.5784,22.569,26.8814,13.983,2.1624,4.5578,8.4825,3.2728,5.5214,10.6229,2.1555,7.6348,2.7473,9.0157,16.2644,17.6392,11.0575,13.6419,9.4524,2.8502,1.0412,42.7848,2.1351,10.7081,8.5976,4.0371,19.798,10.7732,32.6597,46.7163,23.7085,7.5443
11.2649,12.8006,6.0355,2.6272,6.1233,7.5785,7.5738,5.1027,5.2521,4.3792,7.0585,4.2875,4.441,5.31,6.9925,4.4087,13.1502,3.5077,37.1112,13.6664,6.1371,8.4922,9.715,4.9488,7.0107,26.0702,3.4647,9.8465,10.4679,7.0135,4.3754,6.9935,8.7318,20.8583,6.9652,8.4745
21.8638,23.9844,16.5888,10.0669,7.9943,6.5905,9.4232,11.9173,4.7661,22.992,6.299,3.7837,5.485,17.6205,10.1022,12.6154,11.3596,24.5942,41.3253,58.909,28.3974,17.8204,11.2735,3.7773,4.7752,28.6694,6.4055,28.3089,44.4843,4.9585,22.9825,16.7256,37.5175,30.3103,41.7603,13.3246
18.5502,37.6972,65.0702,17.0703,21.5621,28.3577,62.9498,28.3968,10.9001,20.2167,18.1108,5.9358,7.9446,36.4175,30.939,29.7623,11.2006,28.9203,79.2987,53.8642,12.8463,17.8441,23.6696,8.0556,10.1657,69.0774,17.0402,62.767,37.9252,11.469,33.3119,23.8239,111.3854,56.1476,78.7987,18.59
5.791,13.2954,16.0799,3.8463,0,3.6748,4.9237,7.4703,1.9222,3.8457,1.9387,0,7.8143,8.7518,3.8361,2.9048,2.8734,1.2709,9.7148,12.9947,3.8488,1.9313,2.9125,3.8343,0.9621,6.6974,1.9007,9.6476,4.7854,3.855,2.8811,3.8367,16.3024,12.5628,15.303,14.3155
1.9003,0.9339,0.8629,0,1.8909,0,0.9172,0,0.9459,0,0,0.9233,0,0,0,0.884,0,0,4.4395,2.3712,2.8402,1.9012,0.9563,0,1.8936,0,0,0.9496,0,0,8.1017,0.8751,2.832,3.8051,1.8834,2.8296
51.4673,45.0944,30.4294,7.9857,27.3174,22.6052,38.5448,11.2136,19.5436,9.374,12.6216,55.7781,16.7491,16.8267,24.5305,36.1739,3.1562,17.4535,38.911,46.8713,36.9352,12.5689,24.7596,20.9319,13.0546,38.5215,10.1328,20.0785,15.0755,18.7298,7.6674,26.1131,45.1481,42.4411,29.2993,35.5389
1.8598,1.8443,5.4772,1.8894,2.8284,2.0021,4.0167,0.9,0.9264,0.927,0,0,3.7918,2.8088,4.0238,3.7324,1.8482,2.7845,2.8102,4.0553,0,5.5832,3.9755,0.9339,1.855,3.6904,0.917,0,8.0655,0,2.7789,2.7764,6.484,2.8016,3.7108,0.924
36.5241,28.1458,41.8875,8.8213,14.9088,10.0645,27.5179,25.9895,14.2965,12.7238,5.2711,14.6431,9.3805,17.7083,19.0668,38.2985,11.8221,28.1636,22.8536,59.9214,26.7359,11.4427,11.2421,7.0935,4.6723,41.9685,26.1228,20.121,18.3445,13.3678,24.0929,12.641,70.1254,54.2193,22.6815,18.4429
9.1595,13.9453,24.5572,3.6334,3.2415,12.9968,13.4872,21.8995,1.6353,5.0243,3.6861,17.4634,9.7169,14.5712,30.6965,7.0893,0,6.3091,17.2213,12.3469,9.7589,5.4947,3.9979,19.3691,2.7704,20.2629,9.5406,22.4274,17.684,0,8.1907,4.7076,15.2565,15.7225,9.6691,10.6889
289.4741,471.8205,589.5334,119.6486,186.2821,243.7652,520.0615,268.4482,92.8746,192.6675,169.0118,361.9716,241.9115,323.2505,175.0147,330.4555,129.2242,184.2886,568.7938,573.617,394.8753,301.1548,170.2667,143.2841,139.4699,682.6063,196.3948,244.9117,473.9197,121.1043,313.3411,381.7805,691.5746,568.3306,404.1629,295.702
22.6115,27.7909,29.4277,13.5044,15.8409,17.2741,18.23,64.9904,11.3825,11.8208,17.7871,22.5628,12.9804,19.3599,7.6073,23.0247,3.2197,18.9006,32.6717,27.578,27.578,22.6562,7.0061,19.1683,6.4992,66.4432,17.2959,33.3909,32.36,7.5857,28.2702,32.3307,70.1578,54.724,17.3699,10.9491
22.2536,22.4362,27.9058,4.5385,4.4244,4.5705,15.2623,13.4952,0,3.5546,2.2728,11.7264,2.2609,10.9715,10.8097,6.9058,2.9736,4.2679,4.5855,16.0038,13.4802,11.4629,2.2609,1.823,7.0578,16.5856,8.7318,6.8296,8.8526,4.0131,13.3704,3.8178,41.816,26.0386,17.0639,10.6066
108.4991,95.4091,106.8704,29.3473,66.0781,63.3938,110.7338,100.2186,26.6063,99.3658,67.8077,78.7175,71.0661,169.5689,40.8796,128.8517,27.0638,75.7295,100.0437,191.9832,98.1285,121.1256,66.4928,32.1583,64.9857,100.9504,41.3174,87.6792,126.8445,44.2023,83.5705,117.8176,217.7902,226.6273,105.9408,90.5364
0,1.5518,3.0919,0,0.7854,0,0,0,0,0,0,0,0,0.7954,1.433,0,0.7828,0,0,0.7758,4.719,0,0,0.7833,0,0,0,6.3915,0.7822,0.7886,0,0,3.1367,0.7902,6.2746,0.7835
25.6273,44.3977,28.1957,9.899,7.9118,12.397,24.9247,21.1525,18.7972,15.8284,7.9914,53.0014,23.1925,20.0464,4.9303,17.9455,10.8315,9.9046,18.044,58.4723,34.6415,23.8667,8.0115,7.8808,9.9013,17.7205,10.7476,27.8129,37.3811,8.9479,41.49,53.2555,59.7326,52.7294,47.3031,28.5969
42.3982,49.4289,47.4889,7.8182,20.4926,25.6205,37.682,18.7898,17.5865,21.3509,29.4567,12.2451,24.5939,38.0158,16.4209,28.9587,11.7253,25.4772,77.7544,58.1207,31.2118,25.8606,30.3883,18.9969,10.7654,64.0743,9.7009,39.6125,35.6567,19.1203,30.9582,29.0899,84.7045,57.6738,41.7824,23.4023
5.3484,3.0996,39.3785,2.2266,1.5101,9.0969,10.8249,1.7624,10.4514,3.0232,13.7145,1.4775,8.3562,14.7847,0,3.6135,4.518,4.2426,7.7392,29.8744,9.7239,7.8992,0,4.5218,1.513,27.4876,7.0293,3.0335,2.9277,12.0876,6.378,0.6077,15.789,18.0764,9.1995,9.9725
105.0684,121.9953,98.3135,14.68,30.3035,59.1917,154.0035,90.287,35.2164,59.7115,30.5596,25.8893,75.3916,51.4148,38.1051,55.1784,35.1257,52.9242,185.5469,95.9974,57.8161,55.0258,45.3817,37.1241,30.3609,130.284,26.1428,97.196,43.8805,30.358,52.817,59.609,242.7026,93.4172,157.549,63.4207
27.9569,31.2537,68.2142,17.6789,25.8175,25.3806,39.8033,25.6984,29.8932,7.0467,8.1529,19.6392,25.9017,30.5387,19.4893,25.81,12.6827,24.8502,47.1042,32.4545,21.522,21.2704,23.9834,25.9059,6.4223,58.3023,8.9361,32.9132,20.6805,17.4666,25.5181,13.7136,54.8066,49.471,69.6903,17.445
