GSM1841251,GSM1841259,GSM1841261,GSM1841263,GSM1841266,GSM1841268,GSM1841270,GSM1841273
1162.1938,1365.5325,1245.9161,994.8829,1475.959,1037.6932,2757.5043,888.1557
2.1005,2.0028,1.0034,0.9673,3.1554,2.9813,2.0081,0.9886
1139.9276,1209.0417,820.4782,666.5312,1286.7474,1407.1198,837.5314,1032.0053
672.1165,1004.3999,1425.2858,1220.4345,788.331,802.2741,624.8188,797.9144
2031.8667,2261.1753,2698.107,2216.5231,2408.7656,2053.0173,2516.0168,2037.2187
863.1729,1288.0092,979.6713,815.3368,1650.6534,1921.2965,1875.8114,1284.066
566.7785,428.8296,546.0461,245.7938,614.8932,601.9579,506.4291,586.0643
2331.1175,2855.3197,3218.4971,1927.6203,3079.53,2590.2313,2167.7286,2527.9638
31.9245,20.2064,44.4867,26.0188,34.2109,48.3303,25.44,71.1111
432.1109,568.2214,636.398,288.6836,464.7045,474.9894,693.1025,497.0432
1158.5857,946.4359,1152.7452,777.1786,900.1418,1124.2416,742.4921,1027.4785
5.1669,4.1042,11.3323,1.986,8.5371,6.1526,6.3641,4.2439
1341.8955,1782.675,1828.8188,1243.5154,2626.4408,2477.1701,2388.0144,1940.8342
113.4251,127.1216,134.8032,140.7938,187.0021,124.2195,255.1392,93.075
0,2.9095,0,2.097,1.067,1.9346,0.9698,0.9631
0.2987,0.8906,1.4995,0,1.8149,3.208,1.3663,2.8022
812.025,875.694,901.5332,851.1618,933.3049,1056.7008,872.0305,1020.6486
815.9945,291.1967,820.643,497.5626,682.3287,682.9077,282.6814,487.1633
1608.8255,2126.3245,2698.5096,2375.7029,1859.9258,1503.3313,1984.3852,1209.4542
7.1273,4.0419,21.0477,12.7561,22.1752,8.0675,19.3244,6.9278
4529.9946,4853.4221,4011.1289,3226.8297,5970.9609,4630.279,5216.93,3695.9571
9.9619,19.7329,4.9019,4.8533,41.304,13.788,16.7664,17.6535
7.2302,12.6869,17.2266,22.6454,21.0713,2.3194,13.061,2.8498
4174.1977,4540.4418,5191.001,2291.7958,3347.164,3543.254,3669.7175,3586.3262
0,0,0,0,0,0,0,0
3670.4428,5685.3138,4860.2132,2218.0357,3841.3543,4597.7823,4729.1829,4329.1134
