Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
POLB,1,0,0.143070044709389,0.0245287001191034,3.89026450568812
LMX1B,1,0,0.103448275862069,5.28183182595945e-07,1.23256634320273
ASS1,1,0,0.103448275862069,5.28183182588362e-07,-1.03303319789346
CACNB2,1,0,1,2.23777627444195e-17,1.23244445728198
VAMP8,1,0,1,1.04155786469982e-17,-1.53182012425092
CBR1,1,0,1,1.62461793650229e-17,-1.08522060216161
HOXB3,1,0,1,1.59168672477558e-17,1.40744112870781
POLR2K,1,0,0.166089965397924,0.131904521926091,1.36323730906832
GNAT2,1,0,1,1.14978851594646e-17,-1.25123866107537
ABCA4,1,0,1,2.11449211405998e-17,1.04639680559811
ATP6V1G2,1,0,0.444444444444444,2.07017337922172e-17,-3.14711899850026
GNA15,1,0,1,2.15735463881871e-17,-1.55334833235703
ALDOA,1,0,1,1.40860157625032e-17,-4.31642683441176
EGR3,1,0,0.189349112426036,0.179937159786195,-2.20527956335743
CAMK4,1,0,0.189349112426036,0.179937159786195,1.11785336255854
CDH7,1,0,0.5,2.2070277821829e-17,-1.24130717642221
DHCR24,1,0,1,2.15422954339276e-17,1.32641393515498
SPTA1,1,0,0.129554655870445,0.000180177653416988,-1.28545001271254
UTY,1,0,0.5,2.82188892243589e-17,-1.47840244840467
ATP5ME,1,0,0.5,3.35361607079544e-17,1.27444728956525
MST1,1,0,1,1.54561475377373e-17,1.71278193210069
RND3,1,0,0.158940397350993,0.00103876382958772,-1.58396137826624
CLCN5,1,0,0.158940397350993,0.00103876382958772,-2.26472477818071
NFATC4,1,0,1,1.90809355220152e-17,-1.12850442379795
NUDT2,1,0,0.0944881889763779,1.56182065589551e-07,1.20105568344229
CKS2,1,0,0.152623211446741,0.0735047470721719,-1.07439557242833
CTH,1,0,0.134831460674157,4.23517687866415e-05,-1.69389511672304
ATP2B1,1,0,0.156606851549755,0.00481829932754925,-2.28232630574843
ATP1A3,1,0,1,1.26386036601156e-17,-3.51400019712178
CYP1A2,1,0,0.111111111111111,3.52367157548155e-06,-1.26859427303287
ATP2A3,1,0,1,2.48096431230014e-17,1.10243990497103
IFI35,1,0,0.666666666666667,1.54150665993881e-17,-2.89410513346177
BMPR2,1,0,1,1.11599706267257e-17,-2.2316012167918
CENPB,1,0,0.148377125193199,0.0539262956190455,1.35816170494181
TSPO,1,0,1,1.65603646256511e-17,-1.77788057060067
GATM,1,0,1,1.37349523554656e-17,-1.51569011928561
CD59,1,0,1,2.25529594198737e-17,1.23805580323999
