Gene_ID,Gene_Symbol,Gene_Description,log2FoldChange,adjusted.P.Value,Regulation
814,CAMK4,calcium/calmodulin dependent protein kinase IV,1.11785336255854,1.05072038187295e-05,UP
651,BMP3,bone morphogenetic protein 3,-1.09033626481049,8.4626178763831e-06,DOWN
6697,SPR,sepiapterin reductase,-1.43677484157493,9.56639707121743e-05,DOWN
1908,EDN3,endothelin 3,-1.59284064694761,0.000170401423698208,DOWN
377,ARF3,ADP ribosylation factor 3,1.14893890644536,1.96763861855113e-05,UP
2936,GSR,glutathione-disulfide reductase,1.15062645768472,2.40961840273642e-05,UP
590,BCHE,butyrylcholinesterase,2.53325848292607,0.000908020665900137,UP
2138,EYA1,EYA transcriptional coactivator and phosphatase 1,-1.03105342615884,8.07642164743774e-06,DOWN
474,ATOH1,atonal bHLH transcription factor 1,-1.31292674192087,7.82499386441653e-05,DOWN
2815,GP9,glycoprotein IX platelet,1.32882898452482,8.6461699148132e-05,UP
956,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3,-1.05512352260655,1.17813825219906e-05,DOWN
2100,ESR2,estrogen receptor 2,-1.25890266198395,6.26503991788212e-05,DOWN
3295,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,-1.53415249556671,0.0002171469317883,DOWN
6125,RPL5,ribosomal protein L5,-1.03646791708638,1.20360081465206e-05,DOWN
786,CACNG1,calcium voltage-gated channel auxiliary subunit gamma 1,1.06656805609995,2.03225056039354e-05,UP
1466,CSRP2,cysteine and glycine rich protein 2,1.49901011280193,0.000227079980790857,UP
572,BAD,BCL2 associated agonist of cell death,-1.6526733443934,0.000348937209671282,DOWN
604,BCL6,BCL6 transcription repressor,-1.87360455115046,0.000575109445772036,DOWN
955,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6,1.12436569987865,4.26726370421567e-05,UP
611,OPN1SW,"opsin 1, short wave sensitive",-1.45632833996381,0.000240693335537105,DOWN
915,CD3D,CD3 delta subunit of T-cell receptor complex,1.06983849648902,3.15562099238732e-05,UP
2170,FABP3,fatty acid binding protein 3,-1.4443009958069,0.000299442212858182,DOWN
2019,EN1,engrailed homeobox 1,-1.22033948110975,0.000133325315901035,DOWN
2734,GLG1,golgi glycoprotein 1,-1.01881907461594,4.1082338865792e-05,DOWN
2739,GLO1,glyoxalase I,-1.18641923854282,0.000137849698785477,DOWN
1232,CCR3,C-C motif chemokine receptor 3,-1.02669177309222,4.95502626727066e-05,DOWN
1005,CDH7,cadherin 7,-1.24130717642221,0.000187090047743552,DOWN
4485,MST1,macrophage stimulating 1,1.71278193210069,0.000705236265047161,UP
549,AUH,AU RNA binding methylglutaconyl-CoA hydratase,-1.45349989643504,0.000423097724894175,DOWN
329,BIRC2,baculoviral IAP repeat containing 2,-1.36260798121745,0.000339895182667957,DOWN
5500,PPP1CB,protein phosphatase 1 catalytic subunit beta,1.08424888001786,9.83534768670959e-05,UP
7551,ZNF3,zinc finger protein 3,-1.29573105795321,0.000282452407199664,DOWN
2014,EMP3,epithelial membrane protein 3 (MAM blood group),-1.45771602597071,0.000490568056182734,DOWN
5028,P2RY1,purinergic receptor P2Y1,1.15687894070555,0.000177772993860962,UP
920,CD4,CD4 molecule,1.22996216895329,0.000249757514107357,UP
5440,POLR2K,"RNA polymerase II, I and III subunit K",1.36323730906832,0.00045567149888357,UP
10099,TSPAN3,tetraspanin 3,-1.02807818177148,0.000117570815085655,DOWN
1669,DEFA4,defensin alpha 4,-1.01429277243258,0.000127910385147085,DOWN
699,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,-1.16165305555693,0.000278585033318251,DOWN
250,ALPP,"alkaline phosphatase, placental",1.78744112604602,0.00128684639237702,UP
571,BACH1,BTB domain and CNC homolog 1,1.1667761321569,0.000386763501953595,UP
1003,CDH5,cadherin 5,1.01948097193263,0.000206506139743864,UP
9203,ZMYM3,zinc finger MYM-type containing 3,-1.47286242078575,0.00107458263299655,DOWN
688,KLF5,KLF transcription factor 5,1.10022138340262,0.000417483426108825,UP
390,RND3,Rho family GTPase 3,-1.58396137826624,0.00149312246947249,DOWN
65990,ANTKMT,adenine nucleotide translocase lysine methyltransferase,-1.20250713884131,0.000739934153853556,DOWN
3213,HOXB3,homeobox B3,1.40744112870781,0.00120784147718165,UP
5108,PCM1,pericentriolar material 1,-1.21562900267385,0.000907186661205585,DOWN
701,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,-1.68764828825677,0.00195623884506296,DOWN
638,BIK,BCL2 interacting killer,3.35975913221386,0.00358941525059855,UP
353,APRT,adenine phosphoribosyltransferase,-1.18591180036981,0.0009501075665283,DOWN
1477,CSTF1,cleavage stimulation factor subunit 1,-1.05360560474593,0.000671806541203241,DOWN
8361,H4C6,H4 clustered histone 6,-1.08414501145233,0.000958227517770202,DOWN
3064,HTT,huntingtin,-1.53531082369562,0.00229267633908863,DOWN
15,AANAT,aralkylamine N-acetyltransferase,-2.75603604053414,0.00398754126273856,DOWN
3753,KCNE1,potassium voltage-gated channel subfamily E regulatory subunit 1,-1.14962187631937,0.00136256442243475,DOWN
445,ASS1,argininosuccinate synthase 1,-1.03303319789346,0.00106791755485598,DOWN
720,C4A,complement C4A (Chido/Rodgers blood group),-1.83204075780057,0.00312042436238095,DOWN
37,ACADVL,acyl-CoA dehydrogenase very long chain,-1.5010243818968,0.00256832938312293,DOWN
4776,NFATC4,nuclear factor of activated T cells 4,-1.12850442379795,0.00151219763619384,DOWN
288,ANK3,ankyrin 3,1.10497835663414,0.00146047018518617,UP
3706,ITPKA,inositol-trisphosphate 3-kinase A,-1.22277200987119,0.0019461215896307,DOWN
2980,GUCA2A,guanylate cyclase activator 2A,-1.07473952694592,0.00146626785266028,DOWN
5563,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,-1.38586559352975,0.00252755861026008,DOWN
5423,POLB,DNA polymerase beta,3.89026450568812,0.00511728016371852,UP
3693,ITGB5,integrin subunit beta 5,-1.08588049856954,0.00167917630372567,DOWN
2824,GPM6B,glycoprotein M6B,-1.13741825057263,0.0019612758498387,DOWN
2248,FGF3,fibroblast growth factor 3,1.66798560467552,0.00374865891622523,UP
1869,E2F1,E2F transcription factor 1,-1.11611890045087,0.00220773239264785,DOWN
354,KLK3,kallikrein related peptidase 3,1.0898716534951,0.0023316309884631,UP
400,ARL1,ADP ribosylation factor like GTPase 1,-1.11210272780517,0.00263483315979685,DOWN
417,ART1,ADP-ribosyltransferase 1,-1.00447175097622,0.00218848902839854,DOWN
3215,HOXB5,homeobox B5,1.21377979368692,0.0031199766233757,UP
24,ABCA4,ATP binding cassette subfamily A member 4,1.04639680559811,0.00244443207698693,UP
1845,DUSP3,dual specificity phosphatase 3,1.02288335074778,0.00235184087035872,UP
1164,CKS2,CDC28 protein kinase regulatory subunit 2,-1.07439557242833,0.00315085520004639,DOWN
1379,CR1L,complement C3b/C4b receptor 1 like,1.62667733121091,0.00526017275731631,UP
2121,EVC,EvC ciliary complex subunit 1,-1.16649068818927,0.00397416803154139,DOWN
966,CD59,CD59 molecule (CD59 blood group),1.23805580323999,0.00431469188751971,UP
2780,GNAT2,G protein subunit alpha transducin 2,-1.25123866107537,0.00491158013881355,DOWN
3460,IFNGR2,interferon gamma receptor 2,-1.15509087252371,0.00462570593433503,DOWN
1728,NQO1,NAD(P)H quinone dehydrogenase 1,-1.47013471561613,0.00565973967944922,DOWN
6708,SPTA1,"spectrin alpha, erythrocytic 1",-1.28545001271254,0.00580697429352239,DOWN
646,BNC1,basonuclin zinc finger protein 1,-1.43254199689299,0.00712098771410664,DOWN
597,BCL2A1,BCL2 related protein A1,-1.04773009139923,0.00656163668024187,DOWN
518,ATP5MC3,ATP synthase membrane subunit c locus 3,1.2353506897225,0.00753845405088271,UP
351,APP,amyloid beta precursor protein,1.1126006752665,0.00767034333334761,UP
1071,CETP,cholesteryl ester transfer protein,-1.53436970267068,0.00877147808104531,DOWN
496,ATP4B,ATPase H+/K+ transporting subunit beta,-10.6392228873126,0.00972109737368881,DOWN
203,AK1,adenylate kinase 1,-1.36126778139442,0.0097342997879011,DOWN
1718,DHCR24,24-dehydrocholesterol reductase,1.32641393515498,0.0100283541126477,UP
834,CASP1,caspase 1,1.33793053343907,0.010050591262212,UP
21,ABCA3,ATP binding cassette subfamily A member 3,1.84372474232111,0.0105957512596478,UP
1088,CEACAM8,CEA cell adhesion molecule 8,-1.05208933255647,0.0100217148747214,DOWN
325,APCS,"amyloid P component, serum",-1.12030186646399,0.0119922350725587,DOWN
