Gene_ID,metap,metap.adjust,metafc,idx,Gene_Symbol,Gene_Description
26,8.46784286692497e-06,2.9573299709488e-05,-2.23141465894967,-11.3182421488915,AOC1,amine oxidase copper containing 1
443,5.170325633831e-09,5.41709117544566e-08,-1.31070280238323,-10.8611153151047,ASPA,aspartoacylase
38,9.3427274284494e-15,3.31307488039629e-13,0.7697914270777,10.7998090881683,ACAT1,acetyl-CoA acetyltransferase 1
60,3.22204863872035e-08,2.517566817712e-07,1.42256184223386,10.6576454128869,ACTB,actin beta
8,3.47509033798329e-07,1.86281005326779e-06,1.64281740654268,10.6110133221204,,
105,4.61312214878869e-08,3.43007953321224e-07,1.42576815341905,10.4594423675533,ADARB2,adenosine deaminase RNA specific B2 (inactive)
160,4.59486614345532e-09,5.16642266373879e-08,1.24538323219212,10.3836655695893,AP2A1,adaptor related protein complex 2 subunit alpha 1
88,4.7159279530042e-07,2.38905800696147e-06,1.59664090729109,10.101041467028,ACTN2,actinin alpha 2
626,2.10871544296132e-13,6.0757363700323e-12,-0.796274123192036,-10.0935564697209,,
67,3.53969423284729e-10,5.62689324600897e-09,-1.06399870770765,-10.0558882303496,,
42,4.49680804637128e-06,1.69920369621079e-05,1.8790301739433,10.047354070455,,
12,1.45751536113991e-10,2.48857252402037e-09,1.02008774326363,10.0339776732738,SERPINA3,serpin family A member 3
9,1.64313401901489e-07,9.58841497171978e-07,1.40596697538766,9.53853973014234,NAT1,N-acetyltransferase 1
18,4.22453075988192e-07,2.16665370713322e-06,1.49424096964527,9.52462294975793,ABAT,4-aminobutyrate aminotransferase
39,8.02376607354377e-08,5.43964141162306e-07,-1.30920863866389,-9.28964928041428,ACAT2,acetyl-CoA acetyltransferase 2
47,6.40528788230426e-08,4.47399653597313e-07,1.27318878342227,9.1586343001455,ACLY,ATP citrate lyase
195,1.28731312136173e-06,5.65935422070486e-06,-1.51337726206953,-8.91427000423682,,
13,3.95372288680824e-05,0.000107215661812859,-2.01698047358476,-8.8807524660602,AADAC,arylacetamide deacetylase
