Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
AK1,-1.36126778139442,0.0097342997879011,adenylate kinase 1,Down
DHCR24,1.32641393515498,0.0100283541126477,24-dehydrocholesterol reductase,Up
CASP1,1.33793053343907,0.010050591262212,caspase 1,Up
ABCA3,1.84372474232111,0.0105957512596478,ATP binding cassette subfamily A member 3,Up
CEACAM8,-1.05208933255647,0.0100217148747214,CEA cell adhesion molecule 8,Down
APCS,-1.12030186646399,0.0119922350725587,"amyloid P component, serum",Down
CHRND,1.20836428010958,0.0131279245397493,cholinergic receptor nicotinic delta subunit,Up
ALOX12,1.21165551474269,0.0133902899938002,"arachidonate 12-lipoxygenase, 12S type",Up
FARSA,-1.07259571996681,0.0142838612942672,phenylalanyl-tRNA synthetase subunit alpha,Down
AOC1,-1.97700190388739,0.0158174392760693,amine oxidase copper containing 1,Down
AAMP,-2.16387975035407,0.0176571694965062,angio associated migratory cell protein,Down
NAT2,1.83124403491943,0.0190575857053023,N-acetyltransferase 2,Up
BCAT2,1.85034894718101,0.0193701953890015,branched chain amino acid transaminase 2,Up
ADAM8,1.33463911503535,0.0210733973205102,ADAM metallopeptidase domain 8,Up
RPS6,-1.09662680134721,0.0222529236388233,ribosomal protein S6,Down
DDX6,1.13747173228732,0.0248460565888639,DEAD-box helicase 6,Up
PLG,2.24814902626383,0.0250855515288603,plasminogen,Up
ABCA1,1.36545183367998,0.0321490792938113,ATP binding cassette subfamily A member 1,Up
CPS1,1.02080335943793,0.0337251132368291,carbamoyl-phosphate synthase 1,Up
AADAC,-1.72191714367813,0.0344261439377649,arylacetamide deacetylase,Down
HOXC4,-2.54618051138746,0.0379035272967107,homeobox C4,Down
CAV2,-1.03265553325335,0.0410439577518639,caveolin 2,Down
DVL3,-1.24867103650244,0.0472818682241672,dishevelled segment polarity protein 3,Down
ADARB1,1.99852766251595,0.049538599240865,adenosine deaminase RNA specific B1,Up
