Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,randomP.adjust,rank,Gene_Symbol,Gene_Description
1491,-1,-1.69389511672304,-2.35308866027504,-1.03470157317104,4.74327193704594e-07,0,1,25.3654939566907,4.74327193704595e-07,FALSE,1.83045122751525e-05,79,CTH,cystathionine gamma-lyase
1020,1,1.42893311164536,0.930160866513791,1.92770535677693,1.96445407580649e-08,0,1,31.5293795658201,1.9644540758065e-08,FALSE,1.34914710426575e-06,80,CDK5,cyclin dependent kinase 5
1344,-1,-1.51785756210719,-2.07495459736074,-0.960760526853643,9.29024295131773e-08,0,1,28.5165199596014,9.29024295131775e-08,FALSE,5.01920859183193e-06,81,,
824,1,1.97559329028572,1.12753609511442,2.82365048545702,4.97503070143235e-06,0,1,20.8468758795902,4.97503070143235e-06,FALSE,0.000130056931627122,82,CAPN2,calpain 2
866,1,1.20969804736702,0.847515203289773,1.57188089144427,5.89723579051378e-11,0,1,42.8542986439666,5.8972357905138e-11,FALSE,7.96519980772062e-09,83,SERPINA6,serpin family A member 6
561,1,1.61128441496686,0.989681137745481,2.23288769218824,3.76430071103678e-07,0,1,25.8115451823875,3.76430071103678e-07,FALSE,1.49538690991383e-05,84,,
13330,-1,-1.24211789111017,-1.62899273107376,-0.855243051146577,3.11892090908808e-10,0,1,39.5986922158858,3.11892090908807e-10,FALSE,3.94933360113278e-08,85,,
538,-1,-1.76521972183781,-2.49713957929165,-1.03329986438397,2.27888985959478e-06,0,1,22.3442953813859,2.27888985959479e-06,FALSE,6.56264201741348e-05,86,ATP7A,ATPase copper transporting alpha
1991,-1,-1.5795322463242,-2.20247316288816,-0.956591329760243,6.70583246764594e-07,0,1,24.6978677048886,6.70583246764593e-07,FALSE,2.42607438918762e-05,87,ELANE,"elastase, neutrophil expressed"
653,-1,-1.66289463112681,-2.33960660202385,-0.986182660229771,1.4628171301499e-06,0,1,23.1962577604303,1.4628171301499e-06,FALSE,4.45664286568977e-05,88,BMP5,bone morphogenetic protein 5
