Gene_ID,ENSEMBL,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
676.3613,676,BRDT,bromodomain testis associated,protein_coding,1015.48702043216,-0.0799525448253452,0.422801601640782,-0.18910180215749,0.850013029052868,0.952186055454349
3834.5615,3834,KIF25,kinesin family member 25,protein_coding,2986.86955828856,-0.143746020203228,0.202119130887835,-0.711194529542079,0.476963698049068,0.782916456715549
720.2877,720,C4A,complement C4A (Chido/Rodgers blood group),protein_coding,277.681821542943,-1.83204075780057,0.619850137757429,-2.95561886043739,0.00312042436238088,0.0469300827011821
788.1646,788,SLC25A20,solute carrier family 25 member 20,protein_coding,811.469024793991,0.287518579124662,0.2189696377023,1.31305226670538,0.189165336720945,0.53966569618188
673.6905,673,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",protein_coding,629.8693284473,0.183819757522061,0.277792093272986,0.661717024974582,0.50815259165412,0.802049444247418
1059.0122,1059,CENPB,centromere protein B,protein_coding,1458.47627559149,1.35816170494181,0.247644355560352,5.48432328234843,4.15055151053585e-08,6.49999213622449e-06
1010.6118,1010,CDH12,cadherin 12,protein_coding,872.177379412701,-0.0388117650544676,0.27314679705092,-0.142091232529563,0.887007943338642,0.965393113541866
259.7905,259,AMBP,alpha-1-microglobulin/bikunin precursor,protein_coding,305.432983359838,-0.39124845444419,0.280531770146138,-1.39466718596748,0.163116224498158,0.502507480993242
475.5362,475,ATOX1,antioxidant 1 copper chaperone,protein_coding,407.469972259664,0.394964558005997,0.440140680970004,0.897359810357802,0.369526950719484,0.711221563770362
16.6003,16,AARS1,alanyl-tRNA synthetase 1,protein_coding,18.9529212172427,-1.33107837286644,0.912109435537226,-1.45934064598558,0.144471373462919,0.476086166990739
460.7127,460,ASTN1,astrotactin 1,protein_coding,512.843160876923,0.294229283086258,0.246444531692361,1.19389657812958,0.232518426232991,0.591959662311283
107.8567,107,ADCY1,adenylate cyclase 1,protein_coding,109.901639657311,-0.286775305610023,0.432590140955419,-0.662926124429584,0.507377869241104,0.801595586762845
1139.9276,1139,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit,protein_coding,1027.26117582208,0.0362428517558321,0.170507074653155,0.212559225648304,0.831670777822129,0.945306976789436
672.1165,672,BRCA1,BRCA1 DNA repair associated,protein_coding,972.237020290036,-0.684507584482083,0.275334636189641,-2.48609326438181,0.01291541129242,0.124276251838562
863.1729,863,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3,protein_coding,1372.78643711786,0.542470041710148,0.249303515562846,2.17594220637213,0.029559582315304,0.202075318431013
566.7785,566,AZU1,azurocidin 1,protein_coding,493.683452936488,0.248839695094775,0.291582044613184,0.853412271749753,0.393430718546072,0.728954994635998
2331.1175,2331,FMOD,fibromodulin,protein_coding,2597.24255264693,-0.275822542023598,0.215768299026969,-1.27832746176083,0.201133988835033,0.55366553231394
31.9245,31,ACACA,acetyl-CoA carboxylase alpha,protein_coding,38.9430070517141,0.496752072866953,0.771305117654565,0.644040939826135,0.519548886620346,0.807419837455327
432.1109,432,ASGR1,asialoglycoprotein receptor 1,protein_coding,505.728634884937,-0.0870148042988637,0.303733693946652,-0.286483870683597,0.774507545349654,0.92803901439833
1158.5857,1158,CKM,"creatine kinase, M-type",protein_coding,955.632341786485,-0.181060400330418,0.289398590144461,-0.625643684857058,0.531548678602278,0.814135122812103
113.4251,113,ADCY7,adenylate cyclase 7,protein_coding,148.238059504313,0.292330698314289,0.387309530462223,0.754772798813951,0.450385317591136,0.766759218612025
815.9945,815,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,protein_coding,534.218681969537,-0.124637930809055,0.530737127589569,-0.234839291110306,0.814333470482108,0.939425041638818
1608.8255,1608,DGKG,diacylglycerol kinase gamma,protein_coding,1976.27332580177,-0.532764328801434,0.183542245198291,-2.90267958870101,0.00369984958806624,0.0536132703465966
9.9619,9,NAT1,N-acetyltransferase 1,protein_coding,15.3906248053437,0.750219732666726,0.966121707177705,0.776527146728039,0.437437798558543,0.758675948058349
4174.1977,4174,MCM5,minichromosome maintenance complex component 5,protein_coding,3683.56619358795,-0.407577927319772,0.260845953893069,-1.5625234788455,0.118164719186825,0.432755150508284
3670.4428,3670,ISL1,ISL LIM homeobox 1,protein_coding,4247.73592264874,-0.232148022946064,0.280655808369811,-0.827162723958912,0.408144836400329,0.739859099369226
277.7687,277,AMY1B,amylase alpha 1B,protein_coding,278.564618716426,0.0694809476594391,0.275019850146939,0.252639755356992,0.800546605995944,0.935058238072834
24.5988,24,ABCA4,ATP binding cassette subfamily A member 4,protein_coding,47.9940248020687,0.615664858898939,0.556767129773616,1.10578521248061,0.268819496981212,0.628251480485937
150.0875,150,ADRA2A,adrenoceptor alpha 2A,protein_coding,174.060901034056,-1.18512297358694,0.396064009331404,-2.99225111513553,0.0027692836861882,0.0435683617725646
24.5184,24,ABCA4,ATP binding cassette subfamily A member 4,protein_coding,116.420855161555,-0.894781760072013,0.629321516483719,-1.42181974814961,0.155078585130278,0.490357763288064
330.8423,330,BIRC3,baculoviral IAP repeat containing 3,protein_coding,362.698268503618,0.00387554703367655,0.303374193468402,0.0127748078680272,0.989807455265572,0.996756136002791
307.5491,307,ANXA4,annexin A4,protein_coding,181.467087583561,-1.3350149018993,0.634887627884915,-2.10275778462846,0.0354869479826294,0.223858906897075
335.9991,335,APOA1,apolipoprotein A1,protein_coding,380.044340221087,-0.375668530356137,0.233067566331836,-1.61184387973258,0.106995916906207,0.412920005231172
1133.5783,1133,CHRM5,cholinergic receptor muscarinic 5,protein_coding,1480.66895846901,0.129795514029586,0.205037489915631,0.63303308133061,0.526712040188836,0.811347629599887
635.8396,635,BHMT,betaine--homocysteine S-methyltransferase,protein_coding,374.659775333512,-0.591411706341768,0.262026806568575,-2.2570656570857,0.0240039724361353,0.178773040787448
88.8775,88,ACTN2,actinin alpha 2,protein_coding,158.28545954764,0.176577809230074,0.314099625974623,0.562171345101633,0.573999282738343,0.835735905522306
635.4316,635,BHMT,betaine--homocysteine S-methyltransferase,protein_coding,859.542281110442,0.121323517687823,0.293723181385401,0.41305394118223,0.679567093722982,0.889573404317196
861.1877,861,RUNX1,RUNX family transcription factor 1,protein_coding,934.221616465621,0.44201919915555,0.287975124034281,1.53492146461558,0.124803120331503,0.4447594594591
1649.3959,1649,DDIT3,DNA damage inducible transcript 3,protein_coding,1556.11353409318,0.463000550044808,0.317748510698995,1.45712893831125,0.145080791657025,0.476947222980411
2703.4793,2703,GJA8,gap junction protein alpha 8,protein_coding,2419.06074223997,-0.249934445690381,0.220394493122638,-1.13403217180797,0.256781053227595,0.615696624341657
665.6458,665,BNIP3L,BCL2 interacting protein 3 like,protein_coding,569.925693866469,0.31072675273182,0.254769400479058,1.21963921941781,0.222601671978124,0.580389573952433
695.2361,695,BTK,Bruton tyrosine kinase,protein_coding,694.672839488978,-0.28947384602583,0.330092501265468,-0.876947658356614,0.380515068484656,0.719790804414126
1003.5222,1003,CDH5,cadherin 5,protein_coding,1494.78687253223,0.00788409745483174,0.255174118248859,0.030896932294453,0.975351736431105,0.993445369649955
23.6677,23,ABCF1,ATP binding cassette subfamily F member 1,protein_coding,38.3064216639895,-0.0512538855460156,0.588567656955261,-0.0870824024057977,0.930606013087648,0.980098234552761
1902.7003,1902,LPAR1,lysophosphatidic acid receptor 1,protein_coding,1768.76421913941,0.646492381630205,0.203625302887143,3.17491182315646,0.00149882039427411,0.0278398956803689
91.85,91,ACVR1B,activin A receptor type 1B,protein_coding,153.759496686746,0.608681222555151,0.374511383474484,1.62526761378569,0.104105549009508,0.408149224068051
1857.9668,1857,DVL3,dishevelled segment polarity protein 3,protein_coding,1944.24552332785,0.0575223375061249,0.236107634606498,0.243627604850613,0.807519246790095,0.937838722459309
24.0883,24,ABCA4,ATP binding cassette subfamily A member 4,protein_coding,145.605534555916,0.171325808981928,0.535014926250613,0.320226222813222,0.748796846058044,0.916152604185796
214.0689,214,ALCAM,activated leukocyte cell adhesion molecule,protein_coding,288.753784725337,0.618466816814862,0.304238131742603,2.03283793938791,0.0420688987148633,0.247626241745764
13.122,13,AADAC,arylacetamide deacetylase,protein_coding,42.8268158829281,0.885606950814155,0.991925237599611,0.892816229736488,0.371955593509848,0.712761785048621
285.1343,285,ANGPT2,angiopoietin 2,protein_coding,263.55432933917,-0.392837927984923,0.319063342229941,-1.2312223812343,0.218239702786982,0.576063547186019
337.5339,337,APOA4,apolipoprotein A4,protein_coding,1220.8889681092,-0.0990249891163187,0.568535851193052,-0.174175452451272,0.861727576755325,0.956492315622454
1029.7645,1029,CDKN2A,cyclin dependent kinase inhibitor 2A,protein_coding,1689.11925846742,-0.00444189479508053,0.368602942335447,-0.0120506221869444,0.990385227315066,0.997053489929904
4830.0464,4830,NME1,NME/NM23 nucleoside diphosphate kinase 1,protein_coding,5900.85019924282,0.38234871416938,0.272445939022131,1.40339296501065,0.160499689661535,0.4979371726947
